"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"PUT","/features/11/indicators/17",170,0,35,38,5,217,0,0.51,0.00,35,42,49,52,65,80,88,130,220,220,220,220
"PUT","/features/11/indicators/18",169,0,33,35,5,132,0,0.51,0.00,33,40,46,48,61,69,79,130,130,130,130,130
"PUT","/features/11/indicators/19",169,0,32,61,3,4069,0,0.51,0.00,32,39,45,50,68,77,170,190,4100,4100,4100,4100
"PUT","/features/11/indicators/4",185,0,31,35,4,174,0,0.56,0.00,31,40,46,52,65,73,83,90,170,170,170,170
"PUT","/features/12/indicators/10",165,0,31,35,3,149,0,0.50,0.00,31,40,47,52,60,69,100,150,150,150,150,150
"PUT","/features/12/indicators/11",164,0,30,35,3,186,0,0.50,0.00,30,39,44,47,55,66,100,160,190,190,190,190
"PUT","/features/12/indicators/13",164,0,39,39,4,95,0,0.50,0.00,39,45,51,54,65,73,86,93,95,95,95,95
"PUT","/features/12/indicators/14",162,0,32,35,3,160,0,0.49,0.00,32,41,46,48,58,67,87,120,160,160,160,160
"PUT","/features/12/indicators/15",162,0,35,39,4,175,0,0.49,0.00,35,46,54,56,69,81,96,110,180,180,180,180
"PUT","/features/12/indicators/16",162,0,33,37,3,174,0,0.49,0.00,33,40,47,50,60,83,96,160,170,170,170,170
"PUT","/features/12/indicators/17",162,0,30,34,4,101,0,0.49,0.00,30,37,42,47,60,70,80,94,100,100,100,100
"PUT","/features/12/indicators/18",161,0,32,37,6,139,0,0.49,0.00,32,39,44,48,67,77,89,130,140,140,140,140
"PUT","/features/12/indicators/19",159,0,37,41,4,194,0,0.48,0.00,37,45,51,56,64,76,140,180,190,190,190,190
"PUT","/features/12/indicators/4",167,0,35,40,6,188,0,0.50,0.00,35,42,48,53,69,87,160,180,190,190,190,190
"PUT","/features/13/indicators/10",153,0,31,35,3,96,0,0.46,0.00,31,40,47,51,64,72,82,83,96,96,96,96
"PUT","/features/13/indicators/11",152,0,35,41,4,171,0,0.46,0.00,35,43,52,59,70,87,100,120,170,170,170,170
"PUT","/features/13/indicators/13",150,0,34,39,5,205,0,0.45,0.00,34,43,49,51,75,83,110,120,210,210,210,210
"PUT","/features/13/indicators/14",150,0,33,130,5,6705,0,0.45,0.00,34,45,53,60,83,96,140,6600,6700,6700,6700,6700
"PUT","/features/13/indicators/15",150,0,35,41,4,153,0,0.45,0.00,35,45,58,64,74,81,98,100,150,150,150,150
"PUT","/features/13/indicators/16",141,0,34,131,3,6659,0,0.43,0.00,34,42,52,56,69,79,140,6700,6700,6700,6700,6700
"PUT","/features/13/indicators/17",139,0,42,91,5,6589,0,0.42,0.00,42,49,55,58,76,86,160,190,6600,6600,6600,6600
"PUT","/features/13/indicators/18",136,0,31,82,4,6638,0,0.41,0.00,31,38,43,45,53,68,81,88,6600,6600,6600,6600
"PUT","/features/13/indicators/19",133,0,34,141,7,6657,0,0.40,0.00,34,44,50,59,74,110,190,6600,6700,6700,6700,6700
"PUT","/features/13/indicators/4",155,0,31,37,6,189,0,0.47,0.00,31,41,49,53,63,72,84,110,190,190,190,190
"PUT","/features/14/indicators/10",123,0,36,41,5,195,0,0.37,0.00,36,43,51,53,71,85,110,140,200,200,200,200
"PUT","/features/14/indicators/11",120,0,39,152,6,6682,0,0.36,0.00,39,47,52,58,70,93,140,6600,6700,6700,6700,6700
